t  net  edges  BIC
2  105  432  236230.043840078
2  106  431  236190.982648425
2  107  435  236237.375289564
2  108  436  236190.13237939
2  109  431  236271.556876533
2  110  428  236200.918284495
2  111  434  236274.177198341
2  112  438  236230.692291465
2  113  436  236188.741456745
2  114  436  236171.8772951
2  115  429  236163.472917627
2  116  432  236208.406274385
2  117  430  236213.34371527
2  118  436  236231.251027043
2  119  436  236197.735041158
2  120  430  236199.711092658
2  121  433  236197.459349082
2  122  436  236236.051056906
2  123  435  236287.370617449
2  124  431  236225.109250732
2  125  435  236193.661494089
2  126  437  236238.751767307
2  127  436  236241.633915311
3  0  434  236202.057611195
3  1  434  236228.27461191
3  2  434  236197.759648418
3  3  432  236215.808255427
3  4  435  236206.458308511
3  5  434  236232.170668679
3  6  435  236227.825024244
3  7  433  236200.108244977
3  8  434  236175.354188009
3  9  432  236166.823312387
3  10  432  236178.235918362
3  11  435  236200.504233141
3  12  433  236190.417758044
3  13  434  236226.518645143
3  14  434  236184.735298534
3  15  438  236185.964117681
3  16  431  236222.556712781
3  17  432  236203.620779072
3  18  434  236220.138970299
3  19  434  236197.688670906
3  20  432  236224.806901594
3  21  430  236253.663055273
3  22  432  236206.520028122
3  23  431  236228.388640928
3  24  435  236276.739262798
3  25  432  236194.982390581
3  26  435  236235.178464968
3  27  427  236206.424870062
3  28  431  236192.111147702
3  29  434  236228.699715777
3  30  432  236219.232614473
3  31  431  236224.587459817
3  32  433  236167.654559187
3  33  434  236173.602693657
3  34  430  236208.295485816
3  35  432  236206.90218357
3  36  433  236164.254732407
3  37  432  236250.965372393
3  38  435  236198.43111518
3  39  429  236189.985060206
3  40  434  236218.533306288
3  41  431  236198.122500731
3  42  433  236205.398218359
3  43  441  236183.286566181
3  44  428  236249.652278426
3  45  431  236160.658843357
3  46  429  236227.40502417
3  47  427  236285.307571234
3  48  435  236204.325199635
3  49  431  236203.917373748
3  50  436  236184.450783885
3  51  436  236207.010660133
3  52  433  236291.07981791
3  53  433  236197.25772989
3  54  433  236184.729025211
3  55  429  236278.684984019
3  56  432  236205.001462061
3  57  431  236207.904026581
3  58  438  236240.924043247
3  59  437  236209.57253447
3  60  432  236228.972307348
3  61  435  236198.388805457
3  62  431  236243.327386091
3  63  434  236161.250983502
3  64  435  236186.530828455
3  65  432  236137.979828187
3  66  436  236194.159130261
3  67  437  236162.45975715
3  68  432  236171.639140287
3  69  436  236233.374531012
3  70  437  236291.216551996
3  71  430  236204.915767374
3  72  435  236175.646458061
3  73  430  236224.406056211
3  74  433  236196.437921561
3  75  433  236231.336915149
3  76  432  236194.127811342
3  77  435  236194.144567483
3  78  434  236242.242681535
3  79  435  236261.053634745
3  80  436  236189.283627265
3  81  432  236198.641173959
3  82  441  236239.953587261
3  83  437  236269.813499777
3  84  431  236224.928117749
3  85  435  236205.185823612
3  86  435  236240.825373241
3  87  430  236210.168328915
3  88  436  236156.793892757
3  89  430  236243.735341051
3  90  437  236216.419842011
3  91  432  236191.638846078
3  92  439  236216.449304206
3  93  435  236161.466061582
3  94  436  236214.33405179
3  95  433  236176.842231434
3  96  430  236187.671773739
3  97  432  236225.960204169
3  98  433  236215.371026824
3  99  431  236231.551926419
3  100  433  236183.755170838
3  101  432  236187.675212849
3  102  433  236196.801296503
3  103  434  236215.654573147
3  104  436  236179.756916307
3  105  432  236227.353254355
3  106  431  236187.487049851
3  107  434  236218.396213493
3  108  435  236178.499700561
3  109  432  236275.518270582
3  110  431  236206.968355374
3  111  433  236250.238070586
3  112  438  236216.945047897
3  113  439  236206.773761402
3  114  437  236179.331647837
3  115  428  236162.336467184
3  116  430  236204.76540871
3  117  429  236223.930209271
3  118  434  236225.598497118
3  119  434  236188.539815896
3  120  432  236199.578488801
3  121  431  236193.489632774
3  122  437  236235.400491796
3  123  440  236299.681834201
3  124  431  236233.045125012
3  125  433  236198.503749826
3  126  437  236248.033840779
3  127  434  236232.873125579
4  0  435  236197.90769684
4  1  437  236227.388177627
4  2  435  236212.10894211
4  3  433  236195.535212424
4  4  436  236210.691714505
4  5  431  236205.810226659
4  6  434  236227.790690817
4  7  433  236198.597383867
4  8  435  236157.289639751
4  9  434  236165.902518725
4  10  434  236190.040003571
4  11  433  236202.166395442
4  12  431  236180.521452378
4  13  433  236230.16774782
4  14  436  236196.047404273
4  15  438  236191.498183988
4  16  433  236234.190192792
4  17  431  236211.384314098
4  18  433  236216.902859889
4  19  434  236179.279036981
4  20  431  236218.275245601
4  21  428  236230.537949467
4  22  431  236196.080146425
4  23  432  236235.499918419
4  24  429  236286.806154022
4  25  429  236193.703772384
4  26  431  236235.46149112
4  27  430  236219.756323686
4  28  432  236186.532382579
4  29  435  236216.34569438
4  30  434  236215.48423935
4  31  433  236213.69881314
4  32  433  236173.820108798
4  33  435  236161.9150637
4  34  431  236199.014046553
4  35  431  236224.491284977
4  36  435  236166.987254246
4  37  432  236239.586438204
4  38  434  236208.016186284
4  39  428  236185.638280694
4  40  434  236216.907752564
4  41  428  236210.868676237
4  42  434  236201.273120558
4  43  438  236190.244931129
4  44  430  236262.982833944
4  45  429  236174.97640567
4  46  428  236220.764499912
4  47  427  236275.295009009
4  48  436  236211.464351077
4  49  433  236207.334070741
4  50  435  236185.74951055
4  51  436  236208.427013589
4  52  433  236269.234883302
4  53  433  236212.555735306
4  54  433  236173.289935811
4  55  432  236264.271908981
4  56  434  236217.810555928
4  57  430  236203.24394038
4  58  436  236221.067905503
4  59  436  236220.045869976
4  60  435  236222.962659913
4  61  437  236205.569726823
4  62  434  236241.204772829
4  63  435  236179.874705972
4  64  434  236181.538619795
4  65  432  236148.846628424
4  66  437  236192.530564415
4  67  435  236171.056513973
4  68  432  236177.393760275
4  69  437  236232.21025042
4  70  438  236301.850304656
4  71  431  236186.425717892
4  72  431  236169.484350908
4  73  432  236243.932320754
4  74  432  236203.821944907
4  75  430  236212.688072019
4  76  432  236192.329925755
4  77  434  236196.900498228
4  78  432  236257.729706272
4  79  435  236255.234299508
4  80  435  236197.832827308
4  81  431  236195.101437131
4  82  436  236241.874007251
4  83  435  236265.237320656
4  84  431  236228.007452918
4  85  435  236199.375534096
4  86  435  236239.496225589
4  87  433  236219.976975032
4  88  430  236165.962319487
4  89  430  236257.007328375
4  90  437  236207.383913746
4  91  433  236195.092052657
4  92  439  236205.923702789
4  93  432  236158.015082409
4  94  434  236236.357681468
4  95  433  236202.684874646
4  96  430  236196.134535279
4  97  433  236230.137747669
4  98  435  236206.630455839
4  99  432  236216.53054784
4  100  433  236198.856240323
4  101  433  236168.878459121
4  102  432  236205.140061735
4  103  436  236220.594940692
4  104  437  236178.686940811
4  105  433  236204.862973182
4  106  429  236187.855721369
4  107  437  236200.893513053
4  108  438  236193.019763017
4  109  430  236258.010329608
4  110  434  236207.173225404
4  111  434  236257.991725667
4  112  435  236208.031112287
4  113  438  236179.810387283
4  114  434  236200.590110822
4  115  426  236165.047620664
4  116  431  236183.444250764
4  117  429  236216.612454545
4  118  434  236240.530836474
4  119  436  236199.585809591
4  120  432  236198.002562294
4  121  434  236192.41550073
4  122  437  236213.547971523
4  123  441  236276.760418761
4  124  425  236218.967854328
4  125  434  236221.280982371
4  126  434  236226.119974241
4  127  434  236242.774493283
5  0  433  236197.633763106
5  1  434  236229.050507088
5  2  436  236189.494451532
5  3  432  236210.422663702
5  4  438  236207.487615227
5  5  434  236205.731326015
5  6  431  236229.861081101
5  7  435  236209.347028893
5  8  434  236158.87649495
5  9  428  236179.173750216
5  10  428  236202.294100776
5  11  431  236199.974873942
5  12  434  236182.718326732
5  13  437  236243.188699123
5  14  435  236200.227466131
5  15  436  236201.402257085
5  16  432  236223.010599573
5  17  431  236206.064620725
5  18  434  236215.726732671
5  19  437  236169.093479091
5  20  432  236218.024807903
5  21  428  236235.971350517
5  22  431  236195.642942128
5  23  432  236233.88521638
5  24  427  236283.470017637
5  25  433  236203.744339316
5  26  435  236232.775846419
5  27  429  236223.471961547
5  28  434  236204.244880309
5  29  430  236219.48161255
5  30  438  236249.084711671
5  31  433  236219.89200275
5  32  434  236169.21500373
5  33  437  236157.542708977
5  34  430  236195.451173926
5  35  432  236219.20996708
5  36  434  236167.905027384
5  37  432  236220.68215872
5  38  436  236206.691419015
5  39  429  236192.83154257
5  40  436  236231.503118039
5  41  430  236207.997040609
5  42  433  236204.963697746
5  43  440  236194.537840566
5  44  431  236264.764333253
5  45  428  236148.320409004
5  46  426  236213.975160123
5  47  425  236264.814981973
5  48  435  236206.493917798
5  49  430  236206.266205479
5  50  435  236170.531525361
5  51  437  236188.659074494
5  52  429  236278.12083252
5  53  435  236198.772485988
5  54  433  236185.58473325
5  55  432  236264.602095905
5  56  432  236218.754539107
5  57  429  236203.411164334
5  58  439  236247.664647512
5  59  436  236224.575062699
5  60  435  236233.687800359
5  61  434  236226.55361791
5  62  433  236256.495989918
5  63  433  236179.66781215
5  64  433  236190.889189309
5  65  435  236161.519779145
5  66  436  236171.895308697
5  67  435  236166.561573804
5  68  432  236185.741990311
5  69  438  236247.367184244
5  70  440  236303.629663056
5  71  433  236182.82287477
5  72  430  236171.49951897
5  73  432  236232.91370755
5  74  431  236188.773689731
5  75  433  236232.527401338
5  76  433  236216.01447566
5  77  433  236206.012746875
5  78  431  236258.262677903
5  79  439  236270.214124112
5  80  432  236212.770906312
5  81  431  236221.443558148
5  82  437  236245.638211808
5  83  435  236243.703302724
5  84  430  236230.922504133
5  85  433  236197.335201227
5  86  436  236237.668460765
5  87  433  236225.921582971
5  88  431  236164.100260656
5  89  431  236249.909986001
5  90  437  236198.071515874
5  91  434  236193.43918606
5  92  437  236195.780410849
5  93  434  236165.373738377
5  94  435  236237.185553975
5  95  436  236212.643092952
5  96  431  236208.497495981
5  97  434  236228.622498345
5  98  437  236203.641568179
5  99  437  236224.903737955
5  100  432  236218.509616083
5  101  430  236171.077305957
5  102  434  236213.448843264
5  103  436  236226.13828996
5  104  437  236181.286464162
5  105  431  236200.14399808
5  106  427  236187.007957969
5  107  436  236221.397722872
5  108  436  236196.493863431
5  109  431  236240.087861488
5  110  431  236211.680331654
5  111  427  236264.232349709
5  112  436  236221.909800427
5  113  435  236183.721476772
5  114  433  236182.792809068
5  115  427  236180.21098976
5  116  435  236186.32406138
5  117  433  236219.898963002
5  118  435  236249.949469244
5  119  436  236206.983487151
5  120  431  236192.463244593
5  121  436  236184.210380332
5  122  439  236229.538148942
